,Hor_eye,Ver_eye,Time
271,5.81622683697059,-1.1509782769225,74815.5774489
272,5.95454074090168,-0.956328688294214,74815.5832258
273,5.82952943299254,-1.05694372850212,74815.5947852
274,5.79268512470331,-0.880967874212432,74815.6005622
275,5.84809256182669,-0.731970508182571,74815.6063397
276,5.81083579594298,-0.796819971469513,74815.6121216
277,5.90246553045469,-0.62693460483662,74815.6178985
278,6.23552633672522,-0.632307768471589,74815.6236761
279,5.45733784720439,0.0249510786492185,74815.629453
280,4.40878620085327,0.90535887551293,74815.6352299
281,4.80538538269004,1.26631488261389,74815.6410124
282,7.0218700426758,0.963236864619248,74815.6467893
283,7.82251520601659,0.230915709387743,74815.6525656
284,7.22899944006215,-0.421380348531799,74815.6583432
285,6.90870718702722,-0.486662880534386,74815.664125
286,6.62702853853116,-0.426829701241413,74815.669902
287,6.64131428533502,-0.452732513128815,74815.6756795
288,6.86117125959999,-0.527466308931742,74815.6814565
289,6.8615183431574,-0.432254619287828,74815.6872334
290,7.00251487359716,-0.516188680022289,74815.6930159
291,7.11988247264883,-0.481289849634786,74815.6987928
292,7.03613488055649,-0.625844085634908,74815.7045697
293,7.01650224136289,-0.825583897022159,74815.7103473
294,7.01601359799125,-0.878126866081568,74815.7161291
295,6.92911654615993,-0.792549386430026,74815.7219061
296,6.90390809197085,-0.754752781974993,74815.7276836
297,6.87844783559036,-0.689109713567789,74815.7334606
298,6.84172120224452,-0.462268919138702,74815.7392375
299,6.83469827733253,-0.306153628258615,74815.7450193
300,6.63681994603509,-0.340132271615775,74815.7507963
301,6.82151307115651,-0.241654355446611,74815.7565732
302,6.6225859703337,-0.254495537932296,74815.7623508
303,6.6029592896999,-0.27342744140026,74815.7681326
304,6.58866415838673,-0.170178909208924,74815.7739096
305,6.53244137896257,-0.244327054811427,74815.7796871
306,6.52243152463988,-0.257666121650807,74815.7854641
307,6.42190993206052,-0.294946559636888,74815.7912459
308,6.40229408086788,-0.237643778004247,74815.7970235
309,6.5118030741434,-0.274499579317526,74815.8028004
310,6.44355214043561,-0.355737930680179,74815.8085773
311,6.44320715200521,-0.363423170628328,74815.8143549
312,6.83826292571143,0.299877587915148,74815.8201367
313,5.80039408094091,1.17216039992625,74815.8259137
314,4.10044365671794,2.44683016009582,74815.8316912
315,4.76985111090639,3.18603108092427,74815.8374675
316,5.24581330603074,2.61331233378812,74815.8432494
317,5.28746803589111,1.35486317751812,74815.8490269
318,5.76552152953394,0.572214552781546,74815.8548039
319,6.13217424148118,0.188005997416422,74815.8605808
320,6.01550267386653,0.219510169501732,74815.8663584
321,6.06644346958806,0.19248695264654,74815.8721402
322,6.09393836653443,0.444886309445072,74815.8779171
323,6.02549534678217,0.663078592081942,74815.8836947
324,5.95567772772937,0.824017797335463,74815.8894716
325,6.00639705958177,1.112146149196,74815.8952535
326,5.85987749143076,1.43435835056708,74815.901031
327,5.64119027068702,1.42594367939807,74815.906808
328,5.70033867156252,1.43788128298059,74815.9125849
329,5.6953005394156,1.26181147705158,74815.9183625
330,5.63527509620254,1.27748178218779,74815.9241443
331,5.59616227350818,1.2134751695278,74815.9299206
332,5.47717398823456,1.15333478317882,74815.9356982
333,5.48465327126782,1.26962370365808,74815.9414751
334,5.40469198033381,1.09381888975716,74815.947257
335,5.35609522798186,1.11927666910133,74815.9530345
336,5.29893415769053,1.15031939297263,74815.9588115
337,5.23792096554607,1.14940286189471,74815.9645884
338,5.2559990480516,1.22121087974775,74815.9703708
339,5.30527452462389,1.07979933516515,74815.9761478
340,5.33221617147849,1.1256006743159,74815.9819247
341,5.37272003917048,1.04657913113052,74815.9877023
342,5.31480304317618,1.09986788031144,74815.9934792
343,5.35119572114494,1.08395722969533,74815.9992611
344,5.32743692016842,1.07838485306617,74816.0050386
345,5.34788064136844,1.07979933516515,74816.0108156
346,5.17976286377192,1.38250805539332,74816.0165925
347,4.48367113659229,2.17105775001057,74816.0223743
348,5.78937049287349,2.88018113655012,74816.0281513
349,6.35034375804467,2.66463937537158,74816.0339282
350,5.65962862375516,1.56059453679572,74816.0397058
351,5.27087506903448,0.572376449462318,74816.0454827
352,5.38019800728468,0.15487688867621,74816.0512645
353,5.45721055452996,0.247794941736881,74816.0570421
354,5.42850824863761,1.31066196337604,74816.062819
355,5.27702525276765,1.68609267218007,74816.068596
356,5.23512131942574,2.6146607721035,74816.0743784
357,5.50889536086322,2.85313035331156,74816.0801554
358,5.90516324792865,2.20272528871573,74816.0859323
359,6.06025875070257,0.780441284631804,74816.0917099
360,7.24879943428281,-0.862929042228951,74816.0974868
361,1.93268723535599,-3.16445364946578,74816.1032686
362,1.93268723535599,-3.16445364946578,74816.1090462
363,1.93268723535599,-3.16445364946578,74816.1148225
364,1.93268723535599,-3.16445364946578,74816.1205995
365,1.93268723535599,-3.16445364946578,74816.1263819
366,1.93268723535599,-3.16445364946578,74816.1321589
367,1.93268723535599,-3.16445364946578,74816.1379358
368,1.93268723535599,-3.16445364946578,74816.1437134
369,1.93268723535599,-3.16445364946578,74816.1494952
370,1.93268723535599,-3.16445364946578,74816.1552721
371,1.93268723535599,-3.16445364946578,74816.1610497
372,1.93268723535599,-3.16445364946578,74816.1668266
373,1.93268723535599,-3.16445364946578,74816.1726036
374,1.93268723535599,-3.16445364946578,74816.178386
375,1.93268723535599,-3.16445364946578,74816.184163
376,1.93268723535599,-3.16445364946578,74816.1899399
377,1.93268723535599,-3.16445364946578,74816.1957175
378,1.93268723535599,-3.16445364946578,74816.2014993
379,1.93268723535599,-3.16445364946578,74816.2072756
380,1.93268723535599,-3.16445364946578,74816.2130532
